"","shared.humanity_q1","critical.thinking_q1","personal.resilience_q1","gratitude_q1","nature_q1","improved.care.for.elders_q1","embrace.new.tech_q1","prosocial.behavior_q1","social.connectedness_q1","improved.work.life.balance_q1","increased.interest.in.science_q1","learning.from.pandemics_q1","political.engagement...structural.change_q1","optimism...positivity_q1","reconsidering.habits_q1","living.in.the.moment_q1","health...well.being_q1","solidarity_q1","bipartisanship.and.international.cooperation_q1","sympathy...compassion_q1","social.connectedness_q2","social.support_q2","evidence.based.decision.making_q2","improved.work.life.balance_q2","acknowledge.of.uncertainty.flexibility_q2","balance.of.personal...others.interest_q2","perspective.taking_q2","critical.thinking_q2","bipartisanship.and.international.cooperation_q2","solidarity_q2","improve.communication_q2","intellectual.humility_q2","living.in.the.moment_q2","learning.from.pandemics_q2","political.engagement...structural.change_q2","self.reflection.on.what.s.important_q2","shared.humanity_q2","sympathy...compassion_q2","self.distancing_q2","embrace.new.tech_q2","personal.resilience_q2"
"shared.humanity_q1",1,-0.074268857112309,0.0501879695682012,-0.0348894083652657,0.263891087618682,-0.0831408954179911,-0.178689230223993,-0.114132454386434,-0.146180791333349,-0.0991785877244398,-0.0151035665792093,-0.0629436302942525,0.160058394728263,0.240954013302537,-0.185148335620332,-0.0454376934183418,-0.0875119516656824,0.0385119623637383,0.503611038741962,-0.123953208828646,-0.0515463238674819,-0.0192963743484979,-0.117721625376223,-0.0739465639425634,-0.109455411194552,0.00263823779152289,0.167978538196668,-0.152937383892674,0.169702979579441,0.0692080104904563,-0.0827033520593319,-0.0807782865970259,-0.052266755012052,-0.11161250289844,-0.132662193998651,-0.0680681901536379,0.486862823826177,0.267098792610118,0.119032313524339,-0.102593155549373,0.00501106869048993
"critical.thinking_q1",-0.0742688571123091,1,0.163427005878911,-0.0884281433389147,-0.08811970098882,-0.0600574263764995,-0.129506063107597,-0.0816751423373674,0.215137880202595,-0.0694471918654355,0.58061740064259,-0.0662601454857174,-0.153775609417034,-0.0347494037422156,0.304100807473503,-0.0593525429750857,-0.0730646724510742,0.0679368564135271,-0.0836838206392391,-0.0539826676622653,-0.0710357316063284,-0.0828032190674713,-0.0443876894797426,-0.0291370446500191,0.202618786080664,-0.0543219599991759,-0.114736683510267,0.395561024997368,-0.105068618098146,-0.102559454081901,-0.0806123272089952,0.189181161662663,-0.0457168535131076,-0.0760816991661635,-0.115803217126122,0.215761844300944,-0.0535400400189896,-0.0828520388852652,-0.0790341982435607,-0.0316551405968816,-0.0413371818878056
"personal.resilience_q1",0.0501879695682012,0.163427005878911,1,-0.0800332071587857,0.0333204453322851,-0.10367678022729,0.124361581207465,0.0683316896444373,0.0812034692545525,-0.107761122098386,-0.0232857109682102,-0.0815790059835105,-0.20466265239649,0.235803152472958,0.119692141925877,-0.0729690337146357,0.125358072539755,-0.0239963300052326,-0.135228834625699,-0.115044617763764,0.152893946011028,0.195303220962259,-0.106786411654556,0.266704593607676,0.504611639155871,0.290823423471987,-0.107796871513063,-0.15193495161526,-0.107015213713903,-0.124450414947921,0.12173019383893,-0.120020869233565,-0.0612849166914622,0.0778272229659992,-0.164699069327936,-0.0808359916124091,-0.0910026447297083,0.429730817901462,0.0863533847883343,0.247742797464281,-0.0275997744539081
"gratitude_q1",-0.0348894083652657,-0.0884281433389147,-0.0800332071587857,1,-0.0778903757238373,-0.0172545895595593,0.204036186203303,0.0738133554894884,0.148555858809681,0.142953182798894,-0.072502123371059,-0.1214674358372,-0.0774657432460016,-0.0190742117185553,0.0221583666222,0.239406563633242,-0.0998523154871117,-0.0548870208895055,-0.105011456334877,-0.01577685379591,-0.136348842043954,-0.1451082515624,0.0133202092264728,-0.0586257621551957,-0.10632369518271,0.19898356551116,-0.0346083771627522,0.252757369946109,-0.191186030169373,-0.214392972634951,0.124505876173409,0.0763537358222025,0.243761663017665,0.0682366155695854,0.0212654170803008,0.279255843811314,-0.0700561629698968,-0.0845587733374408,-0.142577187381007,-0.0339072891375758,-0.0942843493175833
"nature_q1",0.263891087618682,-0.08811970098882,0.0333204453322851,-0.0778903757238373,1,-0.0819229833954235,-0.185202802457203,-0.121484827429384,-0.183981190767155,0.124162794618013,-0.0277349215707297,0.147533207186058,0.0948929266511175,0.226237449576668,-0.0308323199853091,0.255350476175375,0.129754808022548,-0.160675216889393,-0.132125089457123,-0.107180351842653,-0.0764019368119193,-0.0599230730149638,-0.09633048795519,-0.0675662261717807,0.0902572162449348,-0.0324341974435515,-0.094360202745753,-0.150501291157781,0.102880895452218,-0.132655510361183,-0.098700656504105,0.102746868694651,0.255140846669976,0.0718025670593972,0.018428401149319,-0.0869658132158209,0.168608504224744,0.233702892482874,0.0819514215199717,-0.085645790013422,-0.02208078133245
"improved.care.for.elders_q1",-0.0831408954179911,-0.0600574263764995,-0.10367678022729,-0.0172545895595593,-0.0819229833954235,1,-0.118419288785829,-0.049026343133138,-0.0693204783758767,-0.0496573279796674,0.00455681887010023,-0.0265637742515286,0.232478912586472,-0.0338435294420413,-0.0897039128886525,-0.0415338504516718,-0.0500704384461096,-0.0826322516636188,-0.0600100568879009,-0.0689385538166309,-0.0262882065805649,-0.0448184651975094,-0.0725064372073659,-0.00266069945349232,-0.051749043571836,-0.00690571356216455,-0.0445840022862466,-0.0653816645170717,-0.0492125926626445,-0.0225369808897629,-0.0577741411331367,-0.064626707029029,-0.0208413699503097,0.415124022908512,-0.0850109886859408,-0.0128014831062424,-0.0351420806117917,-0.0687799468269022,-0.031136044682713,-0.0202745557406796,-0.00942540319447819
"embrace.new.tech_q1",-0.178689230223993,-0.129506063107597,0.124361581207465,0.204036186203303,-0.185202802457203,-0.118419288785829,1,0.00689240972712464,0.198556489324806,0.060751910805465,-0.0389748254462083,-0.111999729754212,-0.148029142655095,-0.0931653066055314,0.293439731557409,0.171563947425094,-0.132816774445309,-0.232304227875991,-0.163943620193323,-0.12436864510335,0.276663531296849,-0.118971958059148,0.278825993486715,-0.0658045135026337,0.376844490104377,-0.0696122994583061,0.149306136245629,0.272474638020438,-0.159302120833242,-0.0415314210146969,0.247551884243792,0.0169664470071821,-0.0810147610737428,0.0171507239968799,-0.209089464088045,-0.113910923669877,-0.108878204815089,-0.0123762691274772,-0.140467449443039,-0.0819701196057849,0.329747571215393
"prosocial.behavior_q1",-0.114132454386434,-0.0816751423373674,0.0683316896444373,0.0738133554894884,-0.121484827429384,-0.049026343133138,0.00689240972712464,1,-0.206271704074725,-0.0947558199115692,-0.0450222815098628,-0.0936813349748205,-0.0504863113444406,-0.0684504159287406,-0.00926804151260494,-0.065452542484709,-0.094447798785706,0.56541898962165,-0.118630384085187,-0.0691637764720293,-0.086283951629415,0.212483025158831,-0.0463349123018765,-0.060946680250486,0.121354471032234,0.286568168126615,0.0776118788738836,-0.119905256900013,-0.110032644843572,0.186429249964951,-0.0872362228687956,-0.0987230194250638,-0.0599189111516335,0.0943167718865107,-0.129091155028609,-0.0976249284644141,0.203469065129277,-0.111347604598713,0.0950851829636292,-0.0622688126446096,-0.0412298004713633
"social.connectedness_q1",-0.146180791333349,0.215137880202595,0.0812034692545525,0.148555858809681,-0.183981190767155,-0.0693204783758767,0.198556489324806,-0.206271704074725,1,-0.00377419990668437,-0.0957063140231022,-0.181892595571633,-0.354802090964067,-0.0847035473089768,0.164331725518236,0.0920178478193547,-0.169655196326605,-0.115526045624124,-0.198245997124335,-0.0866676674460669,0.28608656884809,-0.190842618166228,-0.0485046633971475,0.11353965654552,-0.0455242626032447,-0.159939067401673,0.0917964774493942,0.280168531044466,-0.125584222608512,-0.0988307619034677,0.299906242265062,0.223814153675083,-0.123926076327699,-0.0795695933370068,-0.258033736809248,0.223236880186108,-0.135999856894955,-0.189364963065399,0.0418578829983565,0.129085422847022,-0.113615409353756
"improved.work.life.balance_q1",-0.0991785877244398,-0.0694471918654355,-0.107761122098386,0.142953182798894,0.124162794618013,-0.0496573279796674,0.060751910805465,-0.0947558199115692,-0.00377419990668437,1,-0.0320671050823398,-0.0728412324471143,-0.154806257256578,-0.0571418352083819,0.230966768607226,-0.0543274652036153,0.461797590730024,-0.137057842649279,-0.0974080402941765,-0.0630028002206907,-0.0738750676356367,-0.0670764353209172,-0.0502890468775588,-0.0506795278533015,0.15498916534872,-0.0484646661547999,0.116329860566439,0.102137929625764,-0.0961405362592136,0.0618701112472963,0.19111117523366,0.156365963529952,-0.0520516087654276,0.13051835121323,-0.118498875627387,-0.0813079747431555,-0.0672908190637134,-0.102574477163204,-0.0928614509797879,-0.0549707228952409,-0.0341743035171543
