"","estrangement...alienation_q3","career.disruptions_q3","decline.in.quality.of.education_q3","decreased.trust.in.science_q3","decreased.well.being_q3","economic.hardship_q3","educational.inequality_q3","erosion.of.democratic.institutions_q3","exacerbated.social.inequality_q3","mistrust_q3","prejudice...racism_q3","despair_q3","prioritize.self.over.others_q3","irrationality_q3","loneliness_q3","misperception.about.the.world_q3","political.conflict_q3","authoritarianism_q3","stunted.child.development_q3","pessimism_q3","intimate.relations_q3","autobiographical.memory_q3","social.awareness_q4","balance.of.personal...others.interest_q4","solidarity_q4","context.sensitivity_q4","bipartisanship.and.international.cooperation_q4","critical.thinking_q4","evidence.based.decision.making_q4","gratitude_q4","optimism...positivity_q4","improve.communication_q4","long.term.orientation_q4","social.support_q4","social.connectedness_q4","acknowledge.uncertainty.flexibility_q4","living.in.the.moment_q4","patience_q4","perspective.taking_q4","self.reflection.on.what.s.important_q4","shared.humanity_q4","strive.for.socio.economic.equality_q4","sympathy...compassion_q4","political.engagement...structural.change_q4","self.distancing_q4"
"estrangement...alienation_q3",1,-0.106488179892033,-0.101952579927989,-0.133661993085905,0.333438623559179,-0.134091089426555,-0.159046761521779,-0.148343225029212,-0.179304043975967,-0.0174939711765466,-0.214391218646591,-0.0866819552303215,-0.0824319567006458,-0.0826275472761483,0.459153303398566,-0.130941926962999,-0.192606920453146,-0.155212223151625,-0.101928269160088,-0.0749085250431539,-0.0616349344139325,-0.0524857123330658,-0.10959262348116,-0.0958807769034189,-0.133514029524266,0.325195502461431,-0.114377639515167,-0.132672011983332,-0.105905291131522,-0.0563559416157214,-0.086534671567002,0.16697139070301,-0.172948957911958,0.0493278861554939,0.46040833887576,0.0574228424100005,-0.0761099419962379,-0.0723437608676242,0.0496367268899614,-0.11986008690502,-0.126104120985731,-0.132022438234552,-0.0323649679915899,-0.219156892730545,-0.113372633893252
"career.disruptions_q3",-0.106488179892033,1,-0.0717717489265097,-0.107131292888301,-0.13641910876357,0.530395524510939,0.174962665551535,0.0704403332694298,0.0630678642890961,-0.129385042308433,-0.131862749451012,0.237991453777943,-0.076407948198826,-0.0756051686448561,-0.0961638201004151,-0.0856760282620256,-0.148121970644482,0.10155005470049,-0.0650290624749769,-0.0915559897993649,-0.0655609178454149,-0.0415064959007425,-0.0898465008220869,-0.0757703005206161,-0.111380183915717,-0.0941170839202245,-0.0816179887804069,0.151731033156509,-0.0715881791140611,-0.0368823377483882,0.32212131982061,-0.0787301481064473,0.0558866450312134,0.117403060666577,-0.0963048028750436,0.16062039509121,-0.0573617722270552,-0.0612291836258077,-0.0904431260459647,-0.0791421304552734,-0.0964582792424117,0.201490125037218,-0.133337060711993,-0.162493152890994,-0.0847016748879589
"decline.in.quality.of.education_q3",-0.101952579927989,-0.0717717489265097,1,-0.113466489524065,-0.145642400623904,-0.0859098897457364,0.158289433926859,-0.120562783236905,-0.145874503966623,0.157963632270082,-0.0572829709384132,-0.0487142610123282,-0.0487111811953075,-0.0424911902859025,0.205546687064333,-0.0389537841588254,-0.139843049748679,0.118271228956358,0.657622168075697,-0.0779847261142186,0.410087469069735,-0.0515358519201084,-0.0920844982689829,0.646248395639911,-0.0841341805822587,-0.111498617437416,-0.0452306678642194,-0.0973021811994428,0.270069481025703,0.00452644116288701,-0.0698068163554937,-0.00786187933926413,-0.0903076202052873,-0.0688680348938063,-0.045909479825122,-0.0557107598943579,0.013039990724283,-0.0380113079561548,-0.115418059396535,-0.0569174651593734,0.202539841532105,0.247793070863334,-0.128545928982493,-0.1682911315743,-0.0791963709702341
"decreased.trust.in.science_q3",-0.133661993085905,-0.107131292888301,-0.113466489524065,1,-0.027808094112549,-0.165635314521428,-0.126336900105315,0.331421936038734,-0.179070802003902,0.0194276102626511,0.219210807896114,0.171034745615424,0.165135592838869,0.169803694771573,-0.12825112421555,0.341148938470258,0.248709488969376,0.0221708722898929,-0.0811984672320269,0.137260943101486,-0.0875280665332031,-0.0628723044081313,-0.128091147180638,-0.108774941831328,-0.144049578942029,-0.144743695659215,-0.0877655695008298,0.0826062867824495,0.160277858835384,-0.0237876957459897,-0.0761105625844113,-0.0790703647755686,-0.00299464441657507,-0.139938408625811,-0.105743651035813,-0.0917038649951227,-0.0400919631231365,-0.0753659080615718,0.0893675197483719,-0.0871862039606917,0.0818503414985962,-0.0853275326402566,-0.0138692438802872,0.0707370127149415,0.346422923287424
"decreased.well.being_q3",0.333438623559179,-0.13641910876357,-0.145642400623904,-0.027808094112549,1,-0.0640908757626715,0.0700456842910859,-0.119604568940857,-0.075249298818072,-0.0232079635463498,-0.0951509357478469,0.11992200984146,-0.137725526881251,-0.129457460285243,0.0191089830696755,-0.077118605565567,-0.117226178690699,-0.0332103540250913,-0.0889520637712832,0.0335600851906236,-0.129373637830963,0.321745948174514,0.0387154257045532,-0.144232683438799,-0.0148209046057068,0.442664055634999,-0.0982556388901625,-0.151570823759038,-0.127404446827739,-0.0145437783203744,-0.0878340847180136,-0.103653592965126,-0.210242662899369,-0.00898158883548573,0.448510189338283,-0.0908852953434041,-0.0362551645587615,-0.0994627810231254,-0.135235536080723,-0.0921620090875237,0.0310585186919984,-0.0785663247029347,0.078228657601187,-0.0120562410513514,-0.139381864343055
"economic.hardship_q3",-0.134091089426555,0.530395524510939,-0.0859098897457364,-0.165635314521428,-0.0640908757626715,1,-0.0497991377413893,-0.0868636622114384,-0.0161596462021829,-0.203777951604665,-0.149646615210521,0.37762247913172,-0.143631442924932,-0.141815848793717,0.0406693627082177,-0.108902849718042,-0.078739537020026,0.024990541467066,-0.0706488290919173,0.0652876825771592,0.171943099824419,-0.0615397897670516,-0.143553108171625,-0.115022475312826,-0.187778781289834,-0.153846289004086,-0.117312465536296,0.273490628180143,-0.0826807005478795,-0.0516476505270336,0.245907185949926,-0.156447279759506,-0.0664042028188999,0.358290820944474,0.0449844482978713,0.0945360529806596,-0.0982265352076186,-0.106512822569562,-0.0882527501924604,-0.0980616777459082,-0.145114448132194,-0.0638758525116539,0.122433010252623,0.0507717847455873,-0.122489685845934
"educational.inequality_q3",-0.159046761521779,0.174962665551535,0.158289433926859,-0.126336900105315,0.0700456842910859,-0.0497991377413893,1,-0.0835863373874614,0.358720273902778,0.0982847522112402,-0.161370693153928,-0.0453154754346085,-0.0271960194781415,-0.0224988962349727,-0.0836621372528086,-0.0900234657843573,-0.170834405224388,0.0283243054553223,0.483247206459422,-0.00706277974624811,-0.000167700541225395,-0.0590457387088447,0.262673312154671,0.308380855642586,0.229209754201848,-0.0846438487248618,-0.0493889621798931,-0.111543338355741,-0.120063354300257,-0.00213131043391378,-0.0951312841653643,0.0411835971588167,-0.0622529848855492,-0.0231784216621713,-0.028046232936936,-0.0865562207489276,0.0256735680352322,-0.0161416399515604,-0.167527093449151,-0.0801730787255667,-0.0768381737461266,0.543576651078568,0.0991898898261846,-0.173180359617219,-0.0786858204730678
"erosion.of.democratic.institutions_q3",-0.148343225029212,0.0704403332694298,-0.120562783236905,0.331421936038734,-0.119604568940857,-0.0868636622114384,-0.0835863373874614,1,-0.0575129171340071,0.100967695933656,-0.11691570929467,0.108990778323423,-0.153786758256327,0.0941208212452478,-0.17615365624609,-0.0926657865477962,0.0215326448658515,0.149661763983496,-0.0796588268533176,0.0188159905681481,-0.147895423847002,-0.0778745900850064,-0.169734152089208,-0.138303902712846,0.149740163803166,-0.192220137282092,0.100174032625864,-0.143068044648396,0.134902328301564,-0.0324071051677135,-0.0743072628545713,-0.14221403605892,0.218164303755499,-0.0314157166066834,-0.150789819117705,-0.0984380338022628,-0.0703747484596748,0.181161893907024,-0.110612380727173,-0.0958900986106686,0.02934255650601,-0.0659408896245585,0.0844950604868927,0.268662065178842,0.0721705168372388
"exacerbated.social.inequality_q3",-0.179304043975967,0.0630678642890961,-0.145874503966623,-0.179070802003902,-0.075249298818072,-0.0161596462021829,0.358720273902778,-0.0575129171340071,1,-0.175297521395307,0.0975462496553538,-0.101929906394408,-0.102428828145781,-0.0980818107760201,-0.146659711824025,-0.118743933484333,-0.114023009297037,-0.200637874919057,-0.115971360803349,0.108661014082265,-0.0818847658810413,-0.0744812844901484,0.270177275677944,-0.121045626922998,0.359950881964375,-0.15321256126786,0.0985304301062463,0.0321300736603427,-0.131192307984385,-0.0331236991237606,-0.100069935581494,0.17020434168088,0.107807699939015,0.0304968643241393,-0.116223859036671,-0.123443807889695,-0.0439024636230819,-0.07756772482494,0.0211182188855325,-0.113821805237738,-0.141816123140326,0.492074224834592,0.221905325759076,0.129235994014757,-0.128816561708195
"mistrust_q3",-0.0174939711765466,-0.129385042308433,0.157963632270082,0.0194276102626511,-0.0232079635463498,-0.203777951604665,0.0982847522112402,0.100967695933656,-0.175297521395307,1,0.132751524757145,-0.125124806100498,-0.128773514497628,-0.134146093113755,-0.148530440006048,-0.185255250742553,-0.0954533611875816,0.00625454063835764,0.121690961617381,-0.118466498101249,-0.109269482874607,-0.0481944555750964,0.0740014812883164,0.123678687553052,-0.0183489339334476,0.0903543687653338,0.0350415967130681,0.0379636773828851,0.140306260189095,-0.102431458483025,-0.0743170251596905,0.0538031560814649,0.0331854616943481,-0.199887940195441,-0.0125647844796365,0.00206478221198549,0.123562936442608,0.162815976982613,-0.121829194866924,0.0478348084346617,0.0236373767298833,0.0692442838652478,0.0720509087366497,-0.108831568275315,-0.130039216043307
