Domain,Domain_B,Full_Name,Name,Preamble,Positive,Negative,Q1_Outside_CC,Q1_Outside_OM,Q1_Outside_Final,Q3_Outside_CC,Q3_Outside_OM,Q3_Outside_Final,Dialectic_CC,Dialectic_OM,Dialectic_Final
Computer Science,,Alex (Sandy) Pentland,Pentland,,"I think the biggest change will be where people will look to their community rather than the central government, or sort of the big guys. Help comes from people nearby and the people you know, not necessarily big systems and society. ","I think people are beginning to realize that all of the media are driving craziness. They're all driven by cliques. Not just Facebook, The New York Times, as well. They're all just trying to make us crazy. And I think that we ought to do something about that. ",0,0,0,0,0,0,0,0,0
Political Science,,Anand Menon,Menon,,"We are probably going to be more appreciative of people we didn't appreciate enough before. That might be friends and neighbors that have kept each other going through lockdown that might in our country, at least, be health service workers who have been the focus of a lot of sort of attention during this. It might even be immigrants, because the Prime Minister himself came out of this thanking people who weren't from the UK who helped save his life when he went into hospital. That's the first thing. The second thing is that the crisis has helped bring to the fore the issue of economic inequality, the fact that people have precarious work, the fact that people might not have enough to live on, the fact that some key workers don't get paid very much at all. And it might be that we end up with a greater sustained public and political attention paid to that issue that has been certainly in this country in the recent past.",,0,0,0,,,,0,0,0
Cultural Psychology,Social Psychology,Ayse Uskul,Uskul,,"This pandemic has underscored societal inequalities along age, class, ethnic, regional and gender lines. The pandemic has not caused these inequalities, but it's put a spotlight on them. Disease affects certain ethnic and age groups more than others, a woman's contribution to the economy is likely to be hit harder than man's, and those who have entered COVID-19 with ongoing major problems such as poverty, political instability, and corruption, will have a harder time coming out of it in one piece. Alongside of all this, we have also realized one more time, that we all depend on each other in our lives are interconnected in so many different ways. I expect and perhaps more so hope, that this picture will motivate us to work towards understanding why this pandemic hits certain groups harder than others. As a result, it will motivate us to pick up a stronger fight against the unfair distribution of resources and rights not just where we live, but much more globally. ","This pandemic caused people to live in lockdowns and following this experience I expect that we will continue to live in a world of reduced mobility for the foreseeable future, even after lockdowns have been lifted completely, most likely, I will continue to avoid crowds and strangers, traveling overseas, participating in large events unless we have to and so on. And this is likely to affect technological developments in every possible domain of life, not just when it comes to how we socialize with friends and family from our homes, but also how we work, how legal and medical advice and services are delivered, how we vote, how we teach our pupils and students and so on. There's of course a lot of good that can come out of this shift. But one potential negative outcome would be to think that online virtual interactions can replace face to face and physical ones. Research shows very clearly that in person interactions are qualitatively different when it comes to how they affect our mental well-being, our self-concept, our physiology and so on. Coming to the conclusion that life can continue online without physical human contact would be, in my view, one very negative consequence of this pandemic. ",0,0,0,0,1,1,0,1,1
Moral Psychology,Social Psychology,Azim Shariff,Shariff,,"One of the positive aspects of this might be that it even though it exacerbates poverty and inequality, it might shift our attitudes towards those things in a way that ultimately might have more of a positive effect. Across the world, there's great variation in terms of how people attribute the causes of poverty. How they balance attributions towards dispositional causes, that poverty is due to bad decision making or laziness, something internal to the person or to situational causes, exogenous causes, situations, bad luck, lack of opportunity. Since the pandemic has been such a great, and obvious example of an exogenous shock, something that's out of people's immediate personal control, it looks like it has changed people's general attitude towards the causes of poverty, not just their specific recognition that the pandemic has made the economic hardship of the poor worse, but that, in general, the causes of economic hardship for the poor, tend to be these situational things. There is some data that we have  and it showed that the shift that people have towards recognizing that poverty is more the consequence of the situational rather than dispositional causes, drives more sympathy for the poor. And as a result, more support for redistributive policies. We’ve already seen that in the political sphere with a resurgence of a discussion of a universal basic income, something that's being taken more seriously now than it ever has before. The lasting positive legacy, of the pandemic might be a greater recognition of the unfair challenges that many of the people in our society face. And that's a commitment to a more egalitarian, collective approach to these challenges.","One of the most negative, I think, is actually interestingly, and maybe even paradoxically, related to one of the more positive, and that has to do with the plight of the poor. Both in terms of absolute poverty, as well as inequality, this has been bad. We've made tremendous progress over the last decades in terms of reducing the number of people living in extreme poverty around the world, a lot of that progress has been set back by the economic fallout of the pandemic. And that's tragic. In North America, we're likely to see that inequality trends, which have already been going in the wrong direction, are likely to be exacerbated by this. One of the reasons why is because of the unequal educational opportunities. So in the best of times, elementary and high school kids tend to see what we call a summer learning loss, which is that over the summer months, a lot of what they've learned during the school year regresses, both in terms of their mathematical ability and their verbal ability. But unfortunately, that's bad enough, it's not equally distributed among the economic spectrum. The richest kids actually see a boost because they go back to a home environment that's actually quite enriched. School tends to be the equalizer. But when the students go back to their homes, they go back to very different environments, the poorer students go back to the least enriched environments, have the least opportunities for this enrichment, and as a result, they see the steepest declines in their learning. Now, one of the worst things about this is that those inequalities accumulate over the years, which leads ultimately to a substantial achievement gap between the rich and poor, caused predominantly by what happens when they're out of school, rather than differences when they're in school. What this pandemic has brought is that on steroids. First of all, the summer period, when students were out of school was much longer, twice as long and it might continue. Furthermore, there was some expectation that students were supposed to learn remotely or at home, or get school taught, those opportunities were not equally distributed as well, due to unequal access to technology or parents having different abilities to homeschool given their work schedules. As a result, we're likely to see stark inequalities that may last for decades, we've already seen some preliminary data in terms of these abilities sliding and sliding at different pitches. If they accumulate, which they likely will with the rest of the summer learning losses, we might see certain students falling behind for the rest of their lives. ",0,1,1,0,0,1,1,1,1
Emotions,Wellbeing,Barbara Fredrickson,Fredrickson,,People become more aware of the importance of the expression of positive emotions when they're in ordinary day to day interactions with others.,"The negative change that I worry about is that people will slowly begin to ignore unfamiliar people within their social network. As we practice social distancing, we hang back from unfamiliar people. And our day to day interactions with people we don't know are a huge contributor to our own mental health and also to societal health in terms of building our pro social tendencies.",0,0,0,0,0,0,0,0,0
Social Psychology,,Barry Schwartz,Schwartz,,"What the pandemic has done is, it made people appreciate relationships with other people more since that's been so dramatically taken away. At least in affluent Western societies, we seem to be chasing stuff more, and people less, and this may get us to rearrange our priorities. Relatedly, and this comes to the surface, especially in connection with wearing masks in public, it may enhance our concern for the welfare of other people rather than just ourselves. It's been undersold, that wearing masks is mostly to protect other people from you, and less to protect you from other people. If that had been sold more so that you would, in a sense, had this feeling of public responsibility for the welfare of others every time you went outside. I think that would enhance our sense that we're all in this together, I think we have not taken sufficient advantage of the opportunity to emphasize that as a culture. Focusing less on me and more on we is likely to be a positive outcome.","When people are threatened, when people perceive real danger, they kind of pull in, and they focus entirely on themselves. And so it seems to me in a moment of enormous uncertainty and high risk, one way to go is to worry about the welfare of other people. Another way to go is to essentially erase the welfare of other people from your consideration altogether and wake up every day with the idea that it's all about me. I don't think anyone does, it partly depends on how long it lasts, it partly depends on how much more serious it becomes as a health problem. It partly depends on how much more serious it becomes as an economic problem. But I can see people at one another's throats in a few months, rather than looking to provide aid. I think we have to really worry about the anti-social consequences, immoral consequences that could arise if the situation gets desperate enough. I don't know what you can do about it except to have your eyes open and try to find ways to step in and ameliorate if this negative turn starts to appear.",0,0,0,0,1,0,1,1,1
Health Psychology,Clinical Psychology,Crystal Park,Park,,"Well, first of all, I have to say that, frankly, we may not see any changes whatsoever in the in the long run, or even in the medium run, because the people tend to kind of revert to their baseline pretty quickly after major positive and major negative events, for the most part. But on a more hopeful note, if we do see something positive, perhaps it will be that we recognize that we are more adaptable than we have often thought of ourselves. And in this time of the pandemic, people have done a lot of amazingly creative things to meet needs that were unable to be met in the usual ways, and have been remarkably adaptable to a whole new world. And so perhaps some of that sense of being more resilient and adaptable will persist. Another thing that may have happened is that we've had a realization of how interconnected the world is that people and places around the globe are connected. And perhaps this will have even some hopeful, positive effects on our ability to manage climate change. Because of the interconnectedness of the world, you know, what happened in China affects the whole world, what happens in different parts of our own society affect an entire society.   ","In our own data, as well as the data of others, what I've been seeing is a lot of fear, a lot of uncertainty and the sort of common in people turning more conservative, people being more [and I mean, that in the sense of the sort of terror management circle the wagons] being concerned with your own in group and less concerned with the welfare of others. It's a sort of natural tendency when people have scarce resources or feel afraid and see more of that which in some ways does come out politically. And another, maybe connected place where we're seeing some potential negative longer term effects are in people's willingness or ability to trust in science. Sometimes I think that we may have lost a couple thousand years of human progress in the way that the misinformation and lack of information and lack of respect for scientific ways of knowing have been brought about as a result of this pandemic and the polarization of it. And so that's something that I am actually quite concerned about, as are many other people.",0,0,0,1,0,1,1,1,1
Emotions,Social Psychology,Dacher Keltner,Keltner,,"I think it's going to be the value that we attach to meaningful social interactions. And I think that we've lost sight of that. In the past 30 years, we've overemphasized success and material consumption and the like, and what the pandemic is teaching people is how absolutely sacred our best relationships are and the meaningful moments that we can have with people, the value of those social utilities will be much higher coming out of the pandemic. ","I think that it is the suspicion of the wrong people. And you know, people have written about this. It's this suspicion that you see in other countries, that people in health care where they're attacked in Mexico and China. It is the suspicion of people who are different color than we are. It is this suspicion of science and the suspicion of data, that we have strong ways of understanding this epidemic that have really been undermined in the United States by, kind of this suspicion that pandemics elicit that's very worrisome, is those three things, but I think that there's a lot of progress that will be made out of that.",0,0,0,0,0,0,1,1,1
Environmental History,,Dagomar Degroot,Degroot," I want to begin my comments by saying that the biggest challenge of this kind of work, of predicting the future is always separating your personal hopes, fears, biases, beliefs, from your professional judgment. Right? And, of course, these questions are very big. They are emotionally charged in many ways. So my responses are informed by my professional judgment as a historian who studied times of severe societal stress, environmental stress, but I'm sure they're also informed by everything else. That's part of me that I bring to the table. So I want to begin by emphasizing that of course. It's not this is not just me speaking as a historian, this is me speaking as a person with many different aspects, I suppose. And with, you know, skin in the game, obviously, as well, which is of course what we all have. Alright, so, let me go through these questions. ","So here, I would say that we're only halfway through the first wave of the pandemic. And so it's very difficult to know, you know, when the pandemic ends and where we'll be when it ends, but from the perspective of being halfway through this first wave, at least here in the United States, one thing that strikes me as being very positive is that the political fortunes of the populace, and I would say of populism and isolationism more broadly, kind of coming apart. It's weakening. Because a pandemic is international by nature. The institutions that helped to combat it and to prevent a pandemic tend to be multilateral and even within countries, it's very difficult as we've seen here in the United States to confront pandemics amid widespread political polarization and amid broader distrust in government and expertise, which is of course associated with populism. And so partly for those reasons I think we are seeing the political fortunes of, obviously the likes of Donald Trump, but also, populists elsewhere in the world that have been hard hit, Mexico, for example, Brazil, we see the political fortunes of some of these populace decline. Now, it's entirely possible that come the second wave, come the fall from the spring, that could all change and history suggests that in some political and social contexts, the fortunes of those who appeal to our basest instincts they seem to rise when there's a period of profound crisis. So the book is not out on this yet, but right now, that is, I think, a hopeful message. ","So this is very difficult, I think, to answer again, in part because we're halfway through that first wave. And in part because there's many different ways of, of answering it, many different areas that are being adversely affected in arms, in our societies, that might rise or fall in importance over the next few months. But for me right now, what I would flag would be shortcomings and the capabilities and the prestige of democracies. So this is a geopolitical point, but it's also a point related to domestic politics. The example of the United States faltering right now is so profound, and will be so profound for people around the world that I think it is contributing to a change in the balance of power between the United States and China, but also in perception of the competence of democracies and authoritarian states, which actually has nothing to do with how competent democracies have been in the face of this crisis versus authoritarian states. There’s democracies, South Korea, Japan, Taiwan, New Zealand, the list goes on that have functioned very well, and there are authoritarian states, arguably China, Russia, for example, Turkey, Iran, that have not, I think this is important because we are spending so much capital and creating so much debt and delaying so many important priority areas, including work, to confront climate change and ecological problems, although that might be part of whatever stimulus comes out of this in many societies. We might be looking at is long term degradation in what we're capable of doing in democratic societies that might not exist to the same extent in authoritarian states and particularly in China, which is, of course, the most important, authoritarian state. ",0,1,1,0,0,0,1,1,1
"Psychobiology, Epidemiology",,Daisy Fancourt,Fancourt,,"I'm hoping that we're going to see a lot more community engagement from individuals after this pandemic. Early on in the process, we saw a lot of people joining mutual aid groups or other kinds of voluntary associations, people helping their neighbors offering to go and get food or medications for them, people actually started to speak much more to those people who live around them. And I think this is an opportunity for us to build on as we move beyond this pandemic. ","In the UK, we've certainly started to see less and less trust of the government and people really not actually placing as much confidence in the rules they're coming up with and statements they're making. And this has consequences beyond the pandemic, as well as. We might start to have less respect for that institution. And this is quite concerning moving forwards for what that means for how we function as a democracy. ",0,0,0,0,0,0,0,0,0
