Theme,Word,TFIDF Weight
(estrangement & alienation),barrier,0.27989625605386736
(estrangement & alienation),deindividuation,0.17523281284052344
(estrangement & alienation),evaluation,0.20612346049974425
(estrangement & alienation),face,0.15907721408162462
(estrangement & alienation),feeling,0.20612346049974425
(estrangement & alienation),interaction,0.2600753494953386
(estrangement & alienation),isolation,0.38576698999858117
(estrangement & alienation),lockdown,0.13994812802693368
(estrangement & alienation),outcome,0.14861448542590777
(estrangement & alienation),people,0.44306548785616545
(career disruptions),bureaucracy,0.14576838372332582
(career disruptions),career,0.3644209593083146
(career disruptions),case,0.16777442690812142
(career disruptions),decade,0.18952791947646183
(career disruptions),government,0.2115393865071958
(career disruptions),idea,0.13524735194149112
(career disruptions),increase,0.1263519463176412
(career disruptions),inequality,0.14576838372332582
(career disruptions),job,0.20592989812713602
(career disruptions),life,0.20619278740685862
(career disruptions),loss,0.22369923587749518
(career disruptions),people,0.1808131256966985
(career disruptions),student,0.29661598868626676
(career disruptions),take_care,0.14576838372332582
(decline in quality of education),child,0.395003670845284
(decline in quality of education),college,0.2304813790539204
(decline in quality of education),education,0.51711248449927
(decline in quality of education),internet,0.1536542527026136
(decline in quality of education),loneliness,0.1309925905923241
(decline in quality of education),no_doubt,0.14118264007590225
(decline in quality of education),parent,0.12545498888392376
(decline in quality of education),people,0.2626873584743355
(decline in quality of education),repercussion,0.1309925905923241
(decline in quality of education),specie,0.14118264007590225
(decreased trust in science),anxiety,0.12415917879747149
(decreased trust in science),datum,0.12048742865650827
(decreased trust in science),don,0.12048742865650827
(decreased trust in science),expert,0.1833886703954609
(decreased trust in science),fear,0.23592312440307506
(decreased trust in science),group,0.12048742865650827
(decreased trust in science),lack,0.1844736229800997
(decreased trust in science),location,0.12225911359697393
(decreased trust in science),masks_aren,0.12225911359697393
(decreased trust in science),people,0.39945266973807025
(decreased trust in science),politic,0.14153148171447189
(decreased trust in science),province,0.12225911359697393
(decreased trust in science),science,0.1264543218074414
(decreased trust in science),suspicion,0.3320327349569209
(decreased well-being),anxiety,0.18273893052444437
(decreased well-being),barrier,0.24434483005121846
(decreased well-being),class,0.16289655336747896
(decreased well-being),consequence,0.12350243910029884
(decreased well-being),depression,0.2036206917093487
(decreased well-being),interaction,0.12973800256032747
(decreased well-being),memory,0.13495679426581725
(decreased well-being),mental_health,0.22704150448057306
(decreased well-being),people,0.4332035533488965
(decreased well-being),resource,0.2316528485808778
(decreased well-being),school,0.18017443778512718
(decreased well-being),study,0.12217241502560923
(decreased well-being),work,0.13958771162408232
(economic hardship),career,0.2399175326311747
(economic hardship),crisis,0.12541443220006407
(economic hardship),decade,0.1247762227831752
(economic hardship),government,0.20890129821888465
(economic hardship),job,0.21691921627088215
(economic hardship),life,0.13574758404371828
(economic hardship),loss,0.14727300214859868
(economic hardship),partner,0.2307474201180974
(economic hardship),people,0.37695624599893834
(economic hardship),relationship,0.2399175326311747
(economic hardship),student,0.19527794526318262
(educational inequality),access,0.17401163610710962
(educational inequality),child,0.18722259939880997
(educational inequality),class,0.21848568043510172
(educational inequality),education,0.12254967570598978
(educational inequality),environment,0.12067424147392998
(educational inequality),inequality,0.25093989134739775
(educational inequality),people,0.1867615938006135
(educational inequality),resource,0.310705347661623
(educational inequality),school,0.517842246102705
(educational inequality),student,0.24509935141197955
(educational inequality),summer,0.12067424147392998
(erosion of democratic institutions),cdc,0.13209135326536914
