RecordingDate,Name,Gender,Location,Field,Q1,Q2,Q3,Q4,Q5
3-Jul-20,Menon,Male,Non-North America,Non-SC,"We are probably going to be more appreciative of people we didn't appreciate enough before. That might be friends and neighbors that have kept each other going through lockdown that might in our country, at least, be health service workers who have been the focus of a lot of sort of attention during this. It might even be immigrants, because the Prime Minister himself came out of this thanking people who weren't from the UK who helped save his life when he went into hospital. That's the first thing. The second thing is that the crisis has helped bring to the fore the issue of economic inequality, the fact that people have precarious work, the fact that people might not have enough to live on, the fact that some key workers don't get paid very much at all. And it might be that we end up with a greater sustained public and political attention paid to that issue that has been certainly in this country in the recent past.","Part of it is the wisdom of memory. It's very easy to think something in a certain moment in time and forget about it down the line. What is very hard to wrap our heads around at the moment is the fact that we're not always going to be locked down, we're going to move back to something closer to normal at some point, particularly if there's a vaccine. And then it's very important not to forget the lessons of this. I think it's quite important to imprint on our minds, the kinds of things we're thinking about now. What we need is a degree of engagement with politics to ensure that political leaders don't forget the lessons, in a way cynically speaking, the recent history of my country is a history of crises that we fail to make the most out of. You go all the way back to 2008 when you had the financial crisis, we missed an opportunity to think through questions of inequality, the excessive role of financial services in the British economy and so on. In 2016, we had the Brexit referendum, which was about many things, but partly about dissatisfaction with the state of the national economy. We've had lots of fine words since 2016, about leveling up, just about managing. Nothing has happened. So I think we also need to hold our politicians to account to deliver on the lessons we will learn from abandoning.",,"We've got 40,000, probably near 60,000 excess deaths in this country. That's pretty negative when you think about it. Being insufficiently prepared for pandemics, is one key reason. And in this country, that challenges the way governments have been thinking since probably the early part of this century, we need to focus a lot more on resilience and less on immediate efficiency. For instance, our NHS has worked at capacity for many years now. Why? Because it's the economically most efficient model. But what isn't built into the system then, is resilience. And there was real fear at the start of this pandemic, that the NHS would get quickly overwhelmed. The wisdom of long term planning and long term government. One argument we have is that because of our very confrontational political system, where one party fights another and opposes everything the other party does, there's a temptation when you come into power to start to reverse what the other side did. It will be nice in this country if we could have more cross party initiatives to help deal with the longer term structural problems we face. What is the future of work when we have the rise of artificial intelligence? How do we deal with social care, which is extremely badly provided for in this country? I think having greater cross party collaboration, which means that you can have policies set for 10, 15, 20 years, rather than simply four or five, will be a wonderful first step.

We need to think more about resilience to future crises, prevention rather than cure and in a sense, the big message of that is for politicians to take a longer term view of what needs doing in this country. And that, again boils down to the nature of our politics. It is inevitable and understandable the politicians think, in terms of the next election. Actually, what this pandemic has shown is that many of the problems we face whether it's pandemics, whether it’s climate, or long term issues, and it takes more than one government to address them, we need to start thinking more long term when it comes to public policy.","The crucial piece of wisdom is that we will get over this, people's struggle with lockdown. It's often for many people a lonely time, there are massive economic consequences to come possibly with enormous number of job losses. All the indications are that eventually we will find a vaccine, that the economy will recover, is just to keep your eyes set on the fact that we will bounce back from this. As individuals we tend to be quite resilient, even though in terms of the infrastructure we build, we may not be as I said before, but I think that's the thing is to keep your eyes fixed forward and know that our countries will bounce back for this, and this isn't necessarily the new normal."
16-Jul-20,Uskul,Female,Non-North America,SC,"This pandemic has underscored societal inequalities along age, class, ethnic, regional and gender lines. The pandemic has not caused these inequalities, but it's put a spotlight on them. Disease affects certain ethnic and age groups more than others, a woman's contribution to the economy is likely to be hit harder than man's, and those who have entered COVID-19 with ongoing major problems such as poverty, political instability, and corruption, will have a harder time coming out of it in one piece. Alongside of all this, we have also realized one more time, that we all depend on each other in our lives are interconnected in so many different ways. I expect and perhaps more so hope, that this picture will motivate us to work towards understanding why this pandemic hits certain groups harder than others. As a result, it will motivate us to pick up a stronger fight against the unfair distribution of resources and rights not just where we live, but much more globally. ","We will need to master the wisdom to take the perspective of those who have been hit hard by the pandemic, and the ability to see what we can do to avoid contributing towards these inequalities. We also need to have a clearer insight into the meaning of the choices that we make in all domains of life, which have clear consequences for others, and also critically evaluate the privileges that are afforded by our lives that are not shared by everyone else. ","This pandemic caused people to live in lockdowns and following this experience I expect that we will continue to live in a world of reduced mobility for the foreseeable future, even after lockdowns have been lifted completely, most likely, I will continue to avoid crowds and strangers, traveling overseas, participating in large events unless we have to and so on. And this is likely to affect technological developments in every possible domain of life, not just when it comes to how we socialize with friends and family from our homes, but also how we work, how legal and medical advice and services are delivered, how we vote, how we teach our pupils and students and so on. One potential negative outcome would be to think that online virtual interactions can replace face to face and physical ones. Research shows very clearly that in person interactions are qualitatively different when it comes to how they affect our mental wellbeing, our self-concept, our physiology and so on. Coming to the conclusion that life can continue online without physical human contact would be, in my view, one very negative consequence of this pandemic. ","We need to master sensitivity to the very important role played by context in human psychology. The context in which interactions between individuals and between groups that take place determine to a great extent what these interactions mean to us, and what they do to us, and this we cannot ignore and should not ignore when it comes to how we configure life in the future. ","This pandemic, like other disasters we can think of, brings with it a pervasive sense that the world is fundamentally unpredictable. This can trigger the feeling that we lack control over our lives which can be debilitating in many ways. I think finding small ways in which we can hold on to that feeling of having some sort of control would help us get through these difficult times. At the same time though, I think we can try to challenge our need for certainty and try to accept and live with uncertainty which it looks like is gonna be with us for longer than we can imagine."
10-Jul-20,Shariff,Male,North America,SC,"One of the positive aspects of this might be that it even though it exacerbates poverty and inequality, it might shift our attitudes towards those things in a way that ultimately might have more of a positive effect. Across the world, there's great variation in terms of how people attribute the causes of poverty. How they balance attributions towards dispositional causes, that poverty is due to bad decision making or laziness, something internal to the person or to situational causes, exogenous causes, situations, bad luck, lack of opportunity. Since the pandemic has been such a great, and obvious example of an exogenous shock, something that's out of people's immediate personal control, it looks like it has changed people's general attitude towards the causes of poverty, not just their specific recognition that the pandemic has made the economic hardship of the poor worse, but that, in general, the causes of economic hardship for the poor, tend to be these situational things. There is some data that we have  and it showed that the shift that people have towards recognizing that poverty is more the consequence of the situational rather than dispositional causes, drives more sympathy for the poor. And as a result, more support for redistributive policies. We’ve already seen that in the political sphere with a resurgence of a discussion of a universal basic income, something that's being taken more seriously now than it ever has before. The lasting positive legacy, of the pandemic might be a greater recognition of the unfair challenges that many of the people in our society face. And that's a commitment to a more egalitarian, collective approach to these challenges.","We're already seeing part of it in people's psychological changes here, their openness to these policies, to just recognize that, like we've all seen during this time, many of us are just one bad day away from needing each other's help.","One of the most negative is related to one of the more positive, and that has to do with the plight of the poor. Both in terms of absolute poverty, as well as inequality, this has been bad. We've made tremendous progress over the last decades in terms of reducing the number of people living in extreme poverty around the world, a lot of that progress has been set back by the economic fallout of the pandemic. And that's tragic. In North America, we're likely to see that inequality trends, which have already been going in the wrong direction, are likely to be exacerbated by this. One of the reasons why is because of the unequal educational opportunities. So in the best of times, elementary and high school kids tend to see what we call a summer learning loss, which is that over the summer months, a lot of what they've learned during the school year regresses, both in terms of their mathematical ability and their verbal ability. But unfortunately, that's bad enough, it's not equally distributed among the economic spectrum. The richest kids actually see a boost because they go back to a home environment that's actually quite enriched. School tends to be the equalizer. But when the students go back to their homes, they go back to very different environments, the poorer students go back to the least enriched environments, have the least opportunities for this enrichment, and as a result, they see the steepest declines in their learning. Now, one of the worst things about this is that those inequalities accumulate over the years, which leads ultimately to a substantial achievement gap between the rich and poor, caused predominantly by what happens when they're out of school, rather than differences when they're in school. What this pandemic has brought is that on steroids. First of all, the summer period, when students were out of school was much longer, twice as long and it might continue. Furthermore, there was some expectation that students were supposed to learn remotely or at home, or get school taught, those opportunities were not equally distributed as well, due to unequal access to technology or parents having different abilities to homeschool given their work schedules. As a result, we're likely to see stark inequalities that may last for decades, we've already seen some preliminary data in terms of these abilities sliding and sliding at different pitches. If they accumulate, which they likely will with the rest of the summer learning losses, we might see certain students falling behind for the rest of their lives. ",,"We are living in a world where we have to make compromises, and we have to make compromises about things that matter to us a lot. 20 years ago, Phil Tetlock created this taxonomy of when things which are considered to be sacred, sacred values, things that hold a lot of important meaning that their values are incalculable, are pitted against either other sacred values or against secular values- secular values are something like money. When a sacred value is pitted against a secular, that's called a taboo trade off. I think a lot of the decisions that people are facing now, but then mistake to be taboo trade offs, when they're actually the other category, sacred values versus other sacred values. A lot of the things that we're facing now a lot of the difficult moral decisions are about meaningful things in both categories, trading safety, grandparents lives against things like reopening schools for children's lives, restarting the economy to save the livelihoods of everybody protesting in order to fight for justice. These are all sacred values, not secular values. And so the decisions that we're actually making are difficult ones. I think the simple act of deliberation has become moralized. The fact that people are actually considering these decisions is seen as morally gross and I think that's a level of ungenerousness to the challenges that other people are facing."
16-Jul-20,Fredrickson,Female,North America,SC,People become more aware of the importance of the expression of positive emotions when they're in ordinary day to day interactions with others.,"The kind of wisdom people will need is to when they're wearing a face mask to compensate for the expression of positive affect, because making eye contact with somebody is very much without a smile, viewed as threatening, but with a face mask eye contact could be viewed as threatening unless we compensate that with more verbal expression of positive affect or other nonverbal signs, maybe holding your hand on your heart while you're looking at somebody or otherwise, making the gesture gentle, so we'll need to find other ways to compensate for the reduced expression of positive emotion.","The negative change that I worry about is that people will slowly begin to ignore unfamiliar people within their social network. As we practice social distancing, we hang back from unfamiliar people. And our day to day interactions with people we don't know are a huge contributor to our own mental health and also to societal health in terms of building our pro social tendencies.","The wisdom to avoid these outcomes is to keep in mind how vital interactions with strangers, acquaintances less familiar coworkers are for our own mental health and for societal health. And just consciously, deliberately put ourselves in those situations even when they're awkward, and communicate warmth and positivity, even masked as much as we can and if we make those a priority, we'll keep our own individual and collective well being guarded.","It's really important not to let social distancing become social isolation or worse. Social indifference. We very much need our day to day ordinary, mild, brief, positive interactions with people, including unfamiliar people to become our best selves."
19-Jun-20,Schwartz,Male,North America,SC,"What the pandemic has done is, it made people appreciate relationships with other people more since that's been so dramatically taken away. At least in affluent Western societies, we seem to be chasing stuff more, and people less, and this may get us to rearrange our priorities. Relatedly, and this comes to the surface, especially in connection with wearing masks in public, it may enhance our concern for the welfare of other people rather than just ourselves. It's been undersold, that wearing masks is mostly to protect other people from you, and less to protect you from other people. If that had been sold more so that you would, in a sense, had this feeling of public responsibility for the welfare of others every time you went outside. I think that would enhance our sense that we're all in this together, I think we have not taken sufficient advantage of the opportunity to emphasize that as a culture. Focusing less on me and more on we is likely to be a positive outcome.","My own take on wisdom is very much inspired by Aristotle. And one of his central ideas is the importance of finding the mean, which he meant as the right amount, not the average, but the right amount. Lots of virtues become liabilities, become vices when they are carried to an extreme. One of the things we have to do is find the mean, between me and we. You can't forsake your responsibilities to yourself. You also have to take seriously the responsibilities for other people. And it takes judgment, especially in this uncertain world to find the right balance between those two. Second, essential for wisdom is perspective taking, being able to see the world as other people see it so that you can be helpful to them. And in these uncertain times, actually being able to be helpful to other people demands that we understand what life is like for them, so that our interventions can be useful. Building up our perspective-taking muscle will make us wiser. And the last is, there is I think, a trade off in general, between freedom on the one hand and security on the other. Here too, we need to find the mean. In Western affluent societies, we have largely taken security for granted. And we have emphasized freedom, freedom, freedom. The pandemic is demanding that we find a way to balance our legitimate concerns about freedom and autonomy with equally legitimate concerns about security and finding the right balance between those two will require us to develop a kind of situation -by-situation judgment. There's no rule, there's no formula that will enable us to  find the sweet spot where we don't take security for granted and we don't forsake all freedom. ","When people are threatened, when people perceive real danger, they kind of pull in, and they focus entirely on themselves. And so it seems to me in a moment of enormous uncertainty and high risk, one way to go is to worry about the welfare of other people. Another way to go is to essentially erase the welfare of other people from your consideration altogether and wake up every day with the idea that it's all about me. I don't think anyone does, it partly depends on how long it lasts, it partly depends on how much more serious it becomes as a health problem. It partly depends on how much more serious it becomes as an economic problem. But I can see people at one another's throats in a few months, rather than looking to provide aid. I think we have to really worry about the anti-social consequences, immoral consequences that could arise if the situation gets desperate enough. I don't know what you can do about it except to have your eyes open and try to find ways to step in and ameliorate if this negative turn starts to appear.","It would help people if they ask themselves, what does it mean to be a good person and what does it mean to live a good life, a life that you would be happy to pass on to your children, a life that you would be happy to endorse and promote for other people. If you ask yourself that question on a regular basis, it may suppress the temptation to be too me focused, when that bad stuff starts to get worse. People will miss their contact with other human beings. People already do. That's a visceral absence that may spur people to pay attention to how important human contact is, and what it requires of us to be able to generate and sustain the kind of human contact that makes life worth living. I also think it would not be a bad idea to have a kind of mantra that we start every day with, that reminds us of what it is that makes for a good satisfying human life. ","The most important piece of wisdom for people to have now is that there are no rules that get us out of this dilemma. That balancing between me and we, balancing between freedom and security, those sorts of balances require judgment. They require judgment, because there's no formula. They require judgment because circumstances change on a daily, maybe even hourly basis. And so each of us has to sort of figure out for ourselves, and the particular circumstances we're living in and the people who depend on us and what they need, how those balances get maintained, how to balance our concern for others with what we need, and how to balance our concern with being able to be free in the world, with our concern about being protected and secure. "
18-Jun-20,Sternberg,Male,North America,Non-SC,"The most positive change would be the realization that nationalism, populism and other such ideologies don't solve serious medical problems or other problems for that matter, that we're all in things together. We can't do it as America first or Canada first. That we need to balance long term interests, the long term wellbeing of the world as well as our countries with short term gains, and that we need to act ethically and not just talk about it.","The realization that what matters is the common good and not petty ideologies. That sounds simple, but right now, many countries or many tribes within those countries are focused on petty ideologies, ignorance of facts, ignorance of science, ignorance of ethics. And we need to shift their emphasis to the common good, doing what will help not just ourselves or our tribe, but what's good for all.","It would be the realization that today for many people, their ideology trumps their concerns about human wellbeing and about life. And you can see this certainly in my own country, where the same people who vociferously argue for right to life, now are arguing for the right to behavior. For example, not wearing masks, that will literally kill other people. You can't talk about right to life and then go around, acting in ways that will kill others. That's not right to life. But also, the same people who have argued for the necessity of social distance, have made an exception for demonstrations against police brutality and violence. No matter how good the causes are, you need to have some consistency in what you say is wise. Right now, the negative change is, it seems, that people would rather see others die and maybe themselves die, than give up their ideologies.","The main thing is the realization that to achieve a common good, to do what's best for all, you have to look at long term interests, as well as short term ones. And that's proven hard for people to do. You have to look and say, what effect will this have on not only me when I'm older, but on my children and my grandchildren and other people's kids as well. And you have to balance different interests against each other, and that includes the interests of people who are not like yourself, people who are members of different, so called, tribes. So if you're in our country a Republican, that includes Democrats, and if you're a Democrat, that includes Republicans.","If I were to distill it to one thing, I would distill it to the idea that lives are more important than ideology. That the future is more important than short term gratifications. That we should never lose sight of the effects of what we do, not only on our own lives, but on the lives of others around the world, and of future generations. And that preserving the world for the future is more important than the ideologies that inspire people to behave recklessly."
6-Jul-20,Keltner,Male,North America,SC,"I think it's going to be the value that we attach to meaningful social interactions. And I think that we've lost sight of that. In the past 30 years, we've overemphasized success and material consumption and the like, and what the pandemic is teaching people is how absolutely sacred our best relationships are and the meaningful moments that we can have with people, the value of those social utilities will be much higher coming out of the pandemic. ","What you hear people saying are things like, wow, time is slowing down, I can slow down time, sometimes too much, but that's an option that we have in our fast paced lives. Wow, social interactions, and hugging people are the most important things in my life, and I feel depressed without them, and I'll return to that. Or I don't need to shop and burn carbon fuels so much. I think that collectively as we move through this pandemic, this panic and this trauma, we'll start to arrive at a set of core ethical principles like we tend to, and go forward with those more explicitly recognized.","I think that it is the suspicion of the wrong people. And you know, people have written about this. It's this suspicion that you see in other countries, that people in health care where they're attacked in Mexico and China. It is the suspicion of people who are different color than we are. It is this suspicion of science and the suspicion of data, that we have strong ways of understanding this epidemic that have really been undermined in the United States by, kind of this suspicion that pandemics elicit that's very worrisome, is those three things, but I think that there's a lot of progress that will be made out of that.","I think that the first thing that we're going to really need is, is a return to the faith of our institutions that hold up society and health care institutions being most prominent and then science that really can track and math the virus. The second thing that we really need to be rethinking in terms of wisdom going forward is how we think about who's doing the hard work, the nurses and the doctors and the people, long-term, aging facilities that are right on the front line. There are a lot of these suspicions and biases that are flaring up right now creating impediments for understanding that we're going to have to tackle in a reasoned way.","One of the things that's happened in our understanding of the pandemic is, because it's been in the United States, where we are the worst example of adapting to this health challenge is, there has been a lot of fear and a lot of shying away from truths and a failure to understand this. As we shut down and have this period of solitude, which is hard, that people ask themselves what they're finding really meaningful at this moment, and to develop that as they go forward. So for me, it has returned me to this more local simple life of walking with friends and family and cooking more together and, sharing sort of sources of entertainment, and understanding, and get back to what's most local. And we do that by just asking yourself, what are the moments that really meant something to me where I teared up or I felt uplifted? And then to use those as lessons for more wisdom."
7-Jul-20,Degroot,Male,North America,Non-SC,"From the perspective of being halfway through this first wave, at least here in the United States, one thing that strikes me as being very positive is that the political fortunes of the populace, and I would say of populism and isolationism more broadly, kind of coming apart. It's weakening. Because a pandemic is international by nature. The institutions that helped to combat it and to prevent a pandemic tend to be multilateral and even within countries, it's very difficult as we've seen here in the United States to confront pandemics amid widespread political polarization and amid broader distrust in government and expertise, which is of course associated with populism. And so partly for those reasons I think we are seeing the political fortunes of, obviously the likes of Donald Trump, but also, populists elsewhere in the world that have been hard hit, Mexico, for example, Brazil, we see the political fortunes of some of these populace decline. Now, it's entirely possible that come the second wave, come the fall from the spring, that could all change and history suggests that in some political and social contexts, the fortunes of those who appeal to our basest instincts they seem to rise when there's a period of profound crisis. So the book is not out on this yet, but right now, that is, I think, a hopeful message. ","Remain politically engaged. And this has been a common problem, whether it concerns issues of climate change, or racial justice, is that there's these punctuation moments. To really act on the potential of this moment, people need to remain politically engaged. Obviously that means voting in elections, but that also means, speaking to one another, that means protesting in many cases. That means getting involved in very local politics, whether that's within corporations, universities, or at the municipal level at the county level. They're the key really to mobilizing action, I think against populism, but more broadly against are really in favor of action. To prevent and to mitigate, pandemics or climate change or what have you, is to remain politically engaged on many different scales. ","What I would flag would be shortcomings and the capabilities and the prestige of democracies. So this is a geopolitical point, but it's also a point related to domestic politics. The example of the United States faltering right now is so profound, and will be so profound for people around the world that I think it is contributing to a change in the balance of power between the United States and China, but also in perception of the competence of democracies and authoritarian states, which actually has nothing to do with how competent democracies have been in the face of this crisis versus authoritarian states. There’s democracies, South Korea, Japan, Taiwan, New Zealand, the list goes on that have functioned very well, and there are authoritarian states, arguably China, Russia, for example, Turkey, Iran, that have not, I think this is important because we are spending so much capital and creating so much debt and delaying so many important priority areas, including work, to confront climate change and ecological problems, although that might be part of whatever stimulus comes out of this in many societies. We might be looking at is long term degradation in what we're capable of doing in democratic societies that might not exist to the same extent in authoritarian states and particularly in China, which is, of course, the most important, authoritarian state. ","Staying politically engaged is crucial to capitalize on the positive stuff. I think that's also the case for these more negative elements, for example, turning to higher education, it's unconscionable that we don't have stimulus here in the United States for higher ed. $50 billion, could alleviate a lot of the problems that we currently have. And that’s basically pocket change, considering the amount of money that's flowing through the system right now. So if there was more of a groundswell of outrage, about the fact that we might be losing many of our universities in the coming years, this would be a very different story. Remaining politically engaged voting, obviously, maybe changing political opinions, I think that's going to be crucial. ","Accurate historical knowledge is very important of how these things end, of what to compare the current pandemic to, as we look into the past, there's been a lot of bad history that's been written over the last few months, particularly in major news outlets. But what you want to do is give people a sense that this is a problem that can be overcome and that will be overcome if they act wisely. The less pain they're prepared to accept in the short term the more pain they will incur in the long term. So accurate historical knowledge of how pandemics have ended in the past in ‘68, ‘57, for example, the 1918, 1919 this is important. That's what we kind of need to see more of, I think going forwards. "
28-Jun-20,Dunning,Male,North America,SC,"I think some people, and a lot of kids, are being exposed to how you think about information? How do you think about data? How do you think about evidence, and more to the point, how do you do it in a scientific way? What does science look like? What does gaining information or knowledge in a completely new situation, where there's tremendous uncertainty, and where the story may change from week to week as we learn more, a lot of people are going to be exposed to that. I imagine much like a lot of my generation went into science because of Sputnik, a lot of people are going to go into health and science because of this situation.","Now, the wisdom they're going to need is the wisdom that a lot of social commentators have said we've already needed as we moved to the internet age. There is just a tremendous amount of information on the internet. A lot of it's incredibly valuable, but a lot of it is incredibly misleading, and a lot of it is just outright fraudulent. And we have to become experts and be able to tell which experts to follow, who has a sound voice and who is giving us information that's going to mislead and maybe harm us. That's been true before the pandemic, but I think the pandemic has really brought this to the fore. And hopefully people become expert at telling who's the expert. I know that there's a difficulty in that because how can you tell who the expert is without expertise yourself? Well that’s a skill we're all going to have to learn.","A negative consequence of the pandemic is all this media we're being shown, that shows us people not on their best behavior. It shows conflict. And remember that conflict is highlighted on the internet, because well, conflict attracts eyeballs. People who do drama have known this since the Greeks. What also attracts eyeballs is incredibly outrageous behavior. I don't know how many videos I've seen of people massively upset because you've been asked to wear masks in the local supermarket. They're outrageous. They can make you angry. But they could also give you a tilted view of what's really going on with people, what people are really doing. You may focus on the person not wearing the mask and being upset, but you may not notice all the other people in the store wearing the mask that they've been asked to wear. So one of the negative things that we have to be cautious of is not letting, or being shown, about what's going on in the world, to mislead us about how people behave, we can become cynics when a lot of people are acting in a very non cynical, very cooperative way. ","The skill we need is to notice everybody. We need to see what other people are doing. We also need to remember the power of norms, what other people are doing really does have an impact on how we behave. It's important to get the norm right. 
One last type of wisdom people are going to need is to remember that the pandemic is a public health crisis. It's fairly obvious it’s a health crisis. But I think what people tend to forget is that it's also public. We are all individuals. But we are also all “we,” we all have to act together and take care of each other in order to get through this thing the best way that we can, we have to remember that, we have to remember that's part of our duty as humans. The human ability to cooperate, to coordinate, to work together, is the one superpower we have as a species. To get through the pandemic, we're going to have to remember that we have to take care of each other. For two reasons. First, it's always been thus. And second, it's going to become important in the very near future because pandemic in many ways is just an overture for the real challenge  we as a species face and we're all going to have to work together in the near future if it isn't here already. And that's dealing with climate change.","Now, one last type of wisdom people are going to need is to remember that the pandemic is a public health crisis. It's fairly obvious it’s a health crisis. But I think what people tend to forget is that it's also public. We are all individuals. But we are also all “we,” we all have to act together and take care of each other in order to get through this thing the best way that we can, we have to remember that, we have to remember that's part of our duty as humans, it's always been thus. The human ability to cooperate, to coordinate, to work together, is the one superpower we have as a species. To get through the pandemic, we're going to have to remember that, that we have to take care of each other. For two reasons. First, it's always been thus. And second, it's going to become important in the very near future because pandemic in many ways is just an overture for the real challenge or we as a species face and we're all going to have to work together in the near future if it isn't here already. And that's dealing with climate change."
25-Jun-20,Machery,Male,North America,Non-SC,"Some people will discover the pleasure, or maybe happiness of being with one another. So we've spent so much time alone, or maybe with a few people, a few relatives, that we are all craving for spending time with a larger group of relatives, with our friends, but also beyond friends and relatives, with people around us, people who happen to share the same community. We’re going to be rediscovering the fact that we are social animals or maybe political animals, as Aristotle once told us.","At least in the United States of America, where I live right now, one of the main threats is the threat of fulfilling your potential of living together, of enjoying each other is really an intense political polarization. And it's partly striking because it bears on the pandemic, and how to react to the pandemic has become a political matter and also in terms of other social issues. I think to address intense political polarization and to reap the benefits of living together, forming a social community, we need at least two components of wisdom. The first one is openness to others, as different as they may be. I think we should learn to open to others, even if they come from the other side, whatever the other side is. And the second one which is related, is what I like to call the sense of “social offset dissociation,” self distancing. Not social distancing, as we've seen, but self distancing, and I think that you must learn that some of the ideals or values that define us, maybe aren't that essential to who we are. And once we've got to self-distancing, we may be better to interact with people on the other side, whatever the other side looks like.","I'm mostly worried about despair at a social and psychological level. Many people have lost friends, more than 100,000 people in the US only have died and much more, of course, all over the world, several lost relatives, and sometimes they've lost those people without being able to see them. Many people are without a job. And many people have had their dreams crushed, because they had to close their job, because they've been fired, and so on. Many people are on the brink of despair. That’s what worries me most for the months to come and maybe even years to come.","It's difficult to be wise when you have excellent reasons to feel despair. Wisdom really requires not simply inherent strengths or inherent virtues but also a proper social network and proper external circumstances. It's hard to be wise when you have good reasons to actually be despaired. But, I think it's people who are going to be luckier, people who haven't lost their job, people who haven't lost relatives, people who haven't lost friends, and what they must do is show compassion and empathy, as it's time for those around us who haven't been as lucky as the luckiest among us.","Patience and resilience. The pandemic, it's not a sprint, it's a marathon, we have not seen the end of the pandemic and history from past pandemics suggests that impatience is one of the main causes of second wave, third wave and so on. Patience and resilience are the two core components of wisdom, which I think we should all try to rely on in the coming months."
