i,j,alpha,weight
month,despair,0.5623,0.12056011885883784
month,people,0.4823,0.15487367708287444
home,aspect,0.4485,0.12944197935590288
home,school,0.5611,0.1204810969144177
welfare,people,0.43,0.16881044961518163
welfare,way,0.4683,0.15478201973380867
face,connection,0.4631,0.126129610850051
face,interaction,0.4541,0.12919786991889523
face,people,0.5623,0.12250350550537661
face,tool,0.4662,0.126129610850051
tribe,coin,0.427,0.15488091407495158
despair,brink,0.4736,0.15289937760878863
despair,friend,0.5769,0.12056011885883784
despair,job,0.4853,0.1921928280120724
despair,people,0.2705,0.27606418689987566
despair,relative,0.4913,0.15289937760878863
uncertainty,people,0.3853,0.16151156098687916
uncertainty,question,0.4696,0.13109882782307217
uncertainty,threat,0.4759,0.12900859883060398
uncertainty,way,0.5957,0.1506146377233877
inequality,country,0.4346,0.1475519708842324
inequality,importance,0.4958,0.12580971118186263
inequality,increase,0.2889,0.21136063661713897
inequality,left_behind,0.5,0.12580971118186263
inequality,notable_difference,0.5,0.12580971118186263
antagonism,threat,0.4031,0.16361409273722902
relative,people,0.5087,0.14767060090003542
witty_here,aspect,0.4072,0.15517210715386465
widening_inequalities,school,0.4445,0.16765907488878803
neighborhood,community,0.4643,0.12360956646859683
previous_epidemic,group,0.5339,0.13241254090184665
little_bit,group,0.5665,0.12001962060329113
prejudice,threat,0.4406,0.1483009177373173
internet,education,0.5454,0.1283402676038722
guidance,cdc,0.4512,0.1587281132927188
guidance,institution,0.461,0.16687471637956758
guidance,trust,0.5157,0.14391403077152548
minority_culture,group,0.5339,0.13241254090184665
society,fear,0.5772,0.12095905055416407
society,group,0.5481,0.13179589223523921
society,people,0.3568,0.2180741231937676
society,polarization,0.3164,0.24117269595607974
society,power,0.515,0.1446940929310676
society,question,0.5421,0.13409066411977547
child_development,school,0.4445,0.16765907488878803
career,student,0.487,0.16053401337153497
resource,access,0.6231,0.14193819749409967
resource,class,0.439,0.2400159329766647
resource,coin,0.4534,0.23120871502551377
resource,order,0.672,0.12000796648833235
resource,people,0.4536,0.23106661397666725
resource,school,0.2844,0.2559141770445273
parent,child,0.3738,0.23407579245674304
problem,people,0.4707,0.17611391608005922
problem,state,0.4333,0.17393424318622297
consequence,isolation,0.5053,0.1396292050997612
consequence,people,0.3485,0.22312874744981429
school,access,0.5088,0.14039677298768338
school,child,0.5507,0.12428432465066937
school,class,0.4795,0.15238265145852806
school,educational_attainment,0.4445,0.16765907488878803
school,impact,0.4566,0.16223621068484642
school,people,0.5237,0.1345123958564134
school,period,0.4121,0.18281238234181352
school,policy_response,0.4445,0.16765907488878803
school,student,0.3748,0.21494130879335085
school,year,0.4602,0.14524007507282333
deindividuation,concern,0.553,0.1462823500982963
deindividuation,feeling,0.3676,0.20310708993118723
deindividuation,people,0.5407,0.1307742232670015
anxiety,depression,0.4008,0.2068930022808324
anxiety,happiness,0.5347,0.13009087383327764
anxiety,mental_health,0.4417,0.1802924319726029
anxiety,paper,0.5347,0.13009087383327764
anxiety,people,0.5124,0.14210187560154644
fully_appreciate,aspect,0.4072,0.15517210715386465
interaction,connection,0.4821,0.12011680406211869
interaction,day,0.4779,0.12144677553276582
interaction,people,0.45,0.16948562270802792
interaction,tool,0.4852,0.12011680406211869
mexico,suspicion,0.6256,0.12926379255107376
lack,fear,0.4644,0.18463944433920876
lack,rise,0.5089,0.16043989654096064
loved_one,isolation,0.5495,0.12292751146933967
benefit,group,0.5665,0.12001962060329113
tendency,day,0.4137,0.1708531438535698
people,barrier,0.4073,0.1904818225251552
people,behavior,0.3985,0.19503416367652826
people,brink,0.4991,0.14767060090003542
people,child,0.3978,0.19539548253730665
people,concern,0.4831,0.15454673922898157
people,conflict,0.3998,0.19436309045835726
people,country,0.5487,0.12766707313374726
people,datum,0.5219,0.13822335699912028
people,day,0.3903,0.19942204519293313
people,disease,0.3369,0.23024896856940547
people,don,0.5191,0.13937203392207065
people,effect,0.5601,0.12333137935459144
people,fear,0.3914,0.19884015954588605
people,foreign_place,0.4648,0.1626945084817742
people,friend,0.4611,0.16437847658992674
people,government,0.5053,0.14508060536124398
people,group,0.2268,0.31269652350504795
people,health,0.3838,0.20290873618267438
people,hell,0.5586,0.1238783678356972
people,isolation,0.5018,0.14652507143753377
people,job,0.2596,0.28465174642264024
people,life,0.3924,0.19826393174774648
people,mask,0.3669,0.212384222577578
people,mental_health,0.4164,0.18579542203823438
people,place,0.3379,0.2564781023442905
people,polarization,0.4862,0.14158069519736344
people,question,0.499,0.13039638560594963
people,right,0.5977,0.15540909309887405
people,sense,0.4587,0.14693834461878813
people,sort,0.5309,0.13895120367015387
people,suspicion,0.5758,0.15087840526963506
people,way,0.2869,0.33816705708951283
people,world,0.2957,0.21696455537800405
people,year,0.4351,0.15435161525576913
graduate,student,0.4501,0.17711034666537745
pandemics_elicit,suspicion,0.6256,0.12926379255107376
danger,group,0.5665,0.12001962060329113
instance,state,0.563,0.12140828494587343
huge_contributor,day,0.4137,0.1708531438535698
validity,aspect,0.4072,0.15517210715386465
insurance,coin,0.427,0.15488091407495158
government,don,0.5237,0.1628848582487886
government,faith,0.6203,0.1222669526542317
government,institution,0.3532,0.21946745319048266
government,trust,0.2833,0.26526104735794087
place,democracy,0.6197,0.12172414925006655
place,disease,0.5502,0.14978217773180727
place,foreign_place,0.4246,0.20807935832033367
spectrum,country,0.4956,0.12193757561478617
expert,mask,0.5472,0.12853322458152922
community,city,0.4643,0.12360956646859683
community,faith,0.4445,0.12993844343866184
community,institution,0.5556,0.12860445903098888
community,trust,0.4939,0.15293687904881234
german_situation,polarization,0.4642,0.1502911102743533
left_behind,increase,0.5,0.12580971118186263
sanctity,state,0.563,0.12140828494587343
leadership,democracy,0.4695,0.1478167252704955
faith,institution,0.4899,0.1545333804954728
faith,trust,0.4609,0.16729499041825238
environment,aspect,0.4445,0.14064904503739759
country,accusatory_towards,0.4599,0.13452853906223847
country,democrats,0.492,0.13452853906223847
country,group,0.484,0.15280642020625
country,increase,0.4403,0.1475519708842324
country,isolation,0.4938,0.14417167341697262
country,national_perspective,0.492,0.13452853906223847
country,republicans,0.492,0.13452853906223847
country,trust,0.4667,0.16470113496964237
country,way,0.5788,0.1585101481177705
country,xenophobia,0.492,0.13452853906223847
epistemic_agreement,deep_racism,0.5109,0.12111682578038677
epistemic_agreement,fear,0.468,0.15813370678775895
epistemic_agreement,rise,0.4188,0.2034765771378719
sense,distance,0.446,0.1518248812040011
sense,every_day,0.4071,0.16750193169492097
sense,fear,0.4804,0.13884472256401123
sense,group,0.402,0.16963143903175965
cultural_context,evaluation,0.4624,0.14429389454154587
mental_health,day,0.5519,0.1347165413785734
mental_health,depression,0.4511,0.17609780581893344
terrible_shame,distance,0.5245,0.12516600287232899
terrible_shame,every_day,0.4755,0.13809032549465036
racism,group,0.5339,0.13241254090184665
immigrant,coin,0.427,0.15488091407495158
effort,group,0.5339,0.13241254090184665
easy_answer,answer,0.4715,0.127419172378228
easy_answer,question,0.4069,0.16626500843831954
easy_answer,tentativeness,0.4311,0.14057615154424932
case,group,0.3624,0.21256546975553847
job,loss,0.551,0.14337500175797321
solidarity,polarization,0.4642,0.1502911102743533
answer,aspect,0.4445,0.14064904503739759
answer,question,0.3111,0.21187980093767148
answer,tentativeness,0.4715,0.127419172378228
question,aspect,0.4464,0.15009372940793186
question,tentativeness,0.3591,0.16626500843831954
college_education,education,0.3538,0.2123885350748935
college_education,online,0.5283,0.1264215545703202
potential,every_day,0.5381,0.12516600287232899
feeling,evaluation,0.5572,0.13078895971858898
importance,increase,0.5012,0.12580971118186263
coin,family,0.4923,0.13010016592203066
coin,number,0.5152,0.12212254687927732
coin,outcome,0.5676,0.12212254687927732
coin,united_state,0.427,0.15488091407495158
way,group,0.3158,0.3150620425456497
distance,alienation,0.5375,0.12516600287232899
distance,every_day,0.2696,0.25033200574465797
distance,fear,0.4559,0.1634204320537425
spread,isolation,0.5495,0.12292751146933967
democracy,area_worldwide,0.4324,0.1630799037896625
democracy,character,0.4324,0.1630799037896625
democracy,hate_crimes,0.4324,0.1630799037896625
democracy,leader,0.4975,0.13698732776923356
democracy,self_confident,0.4324,0.1630799037896625
democracy,unusual_leadership,0.4324,0.1630799037896625
stratification,group,0.5339,0.13241254090184665
conspiracy_theorie,fear,0.5036,0.14333345893065805
conspiracy_theorie,rise,0.4569,0.18443254259312464
conspiracy_theorie,threat,0.4406,0.1483009177373173
education,child,0.3902,0.1938885467777424
education,fear,0.5385,0.1296761512520073
education,online,0.4717,0.14159235671659565
education,repercussion,0.5594,0.12988107022820053
field,polarization,0.4642,0.1502911102743533
color,suspicion,0.6256,0.12926379255107376
decade,student,0.5428,0.13735775448125884
notable_difference,increase,0.5,0.12580971118186263
polarization,equity,0.4642,0.1502911102743533
polarization,group,0.5397,0.12179837960424313
polarization,sphere,0.4642,0.1502911102743533
polarization,violation,0.4642,0.1502911102743533
growth,threat,0.4406,0.1483009177373173
risk,power,0.6062,0.12059061852692268
don,mask,0.5298,0.13496097848500588
ancient_greek,aspect,0.4072,0.15517210715386465
hell,barrier,0.2844,0.22187978462821847
deep_racism,fear,0.468,0.15813370678775895
deep_racism,rise,0.4188,0.2034765771378719
right,life,0.4809,0.209971843059017
loss,student,0.5519,0.13379206977755215
living,state,0.563,0.12140828494587343
ignore_unfamiliar,day,0.4137,0.1708531438535698
member,area,0.5278,0.13477398844787072
member,group,0.3613,0.20509588898453165
member,individual,0.2466,0.26954797689574145
member,trust,0.5701,0.12278358964266667
student,life,0.4507,0.17681070362847365
student,year,0.4899,0.13487064279268904
rise,fear,0.3123,0.2656650319224895
rise,world,0.5198,0.12305014372730097
care,suspicion,0.6256,0.12926379255107376
republicans,group,0.508,0.13028990041729768
alienation,every_day,0.5029,0.13809032549465036
aspect,philosopher_enhanced,0.4072,0.15517210715386465
aspect,work,0.563,0.12426664524912494
epidemic,child,0.5924,0.12809612641627238
barrier,erosion,0.6081,0.1479198564188123
institutional_support,state,0.563,0.12140828494587343
state,life,0.5333,0.13244569896047473
state,power,0.2107,0.3099334114557653
state,world,0.4761,0.1383757857964166
cdc,institution,0.5648,0.12515603728467567
behavior,conflict,0.5776,0.1312990411509859
behavior,mask,0.5297,0.1350273128505066
connection,isolation,0.4994,0.1419451969832713
connection,tool,0.3466,0.16898212005735289
national_perspective,group,0.508,0.13028990041729768
distancing,day,0.441,0.1548624425188339
tool,isolation,0.4189,0.1419451969832713
world,fear,0.436,0.15345436393694015
world,isolation,0.4953,0.13150815238556254
white_thinking,threat,0.4031,0.16361409273722902
every_day,fear,0.4191,0.18029480958816044
death,threat,0.4406,0.1483009177373173
outcome,evaluation,0.4295,0.17066213102295968
network,day,0.4137,0.1708531438535698
accusatory_towards,group,0.5393,0.13028990041729768
research_show,threat,0.4031,0.16361409273722902
individual,area,0.5508,0.20119277364811977
individual,group,0.3789,0.3128737934272827
individual,trust,0.4264,0.18329331381504382
democrats,group,0.5393,0.13028990041729768
child,loneliness,0.4399,0.12809612641627238
child,repercussion,0.3048,0.23081934708367385
child,specie,0.5601,0.14132300613186302
evaluation,effort_rather,0.4624,0.14429389454154587
evaluation,loneliness,0.4306,0.13078895971858898
life,power,0.5978,0.12226530269106808
xenophobia,group,0.508,0.13028990041729768
isolation,energy,0.5495,0.12292751146933967
isolation,enormous_amount,0.5495,0.12292751146933967
isolation,lose_touch,0.5495,0.12292751146933967
disease,group,0.2905,0.25774175954856005
trust,group,0.5267,0.13946572916166847
trust,institution,0.2795,0.26791771259796215
group,area,0.4278,0.17836687703266926
group,belief,0.5339,0.13241254090184665
threat,mortality,0.4031,0.16361409273722902
mask,conflict,0.3585,0.20981416792797092
