i,j,alpha,weight
month,despair,0.6498,0.12273826808862964
month,people,0.3887,0.27349224816100653
home,answer,0.3738,0.20131909080029378
home,aspect,0.3327,0.22385347368745087
home,environment,0.3365,0.22165964614626354
home,investment,0.4449,0.13263371736468
home,life,0.5361,0.14444307414923535
home,originally_thought,0.4266,0.15191835414411894
home,people,0.5576,0.1692582714566925
home,public,0.4764,0.1232294408647743
home,question,0.5497,0.1658121508739293
home,work,0.492,0.17377265103135534
safety_net,worker,0.5309,0.12243030436848452
patience,crisis,0.5411,0.1285962183743487
consumption,number,0.4894,0.15818322178166966
neighborhood,face,0.5851,0.1280466501610639
neighborhood,people,0.633,0.1325442589690745
neighborhood,village,0.4367,0.20121546820933914
measure,solidarity,0.5393,0.12406939107907439
virus,biological_being,0.4954,0.1617226392589494
virus,globalization,0.5008,0.1594428545280361
virus,society,0.5611,0.13506983154324148
virus,wealth_disparity,0.5039,0.16395594505620653
college,education,0.4963,0.18126388143415817
child_development,educational_attainment,0.4563,0.1256052713985636
child_development,school,0.4544,0.16898329200083545
child_development,widening_inequalities,0.4563,0.1256052713985636
resource,access,0.4549,0.20575120403977912
resource,class,0.3942,0.24182761682214465
resource,coin,0.4449,0.2113362861319618
resource,community,0.3979,0.23948250987185496
resource,deriving_pleasure,0.6093,0.1308682336681565
resource,distinction,0.6314,0.12158913722930975
resource,inequality,0.5973,0.13601922886648354
resource,people,0.3469,0.27371747660142703
resource,school,0.2456,0.2951568537089561
resource,self,0.3634,0.2471442474936367
resource,support,0.4668,0.19395009226283597
resource,tribe,0.4583,0.17073530916027782
resource,wellbeing,0.5279,0.12003428570787153
run,world,0.5386,0.1336308298196968
bike,deindividuation,0.6469,0.12529732563186435
end,connection,0.3567,0.2072183044107271
end,distance,0.5553,0.12149132953444396
end,fidelity,0.4138,0.136683280904964
end,history,0.5494,0.1380563541309138
end,people,0.4873,0.20821039675170142
end,skill,0.5268,0.1428250709551918
end,specie,0.4088,0.19900580859183922
end,way,0.5717,0.13150895333098914
interaction,connection,0.2395,0.33336674285401485
interaction,contact,0.5096,0.15968788717656884
interaction,context,0.3466,0.24904065800371772
interaction,day,0.2849,0.2939113552598423
interaction,emotion,0.5871,0.12654157469692234
interaction,expression,0.5543,0.14000219051160476
interaction,face,0.2084,0.3647490124063407
interaction,future,0.5068,0.16096035300128073
interaction,group,0.5859,0.12699289558844576
interaction,health,0.591,0.12497990561811263
interaction,importance,0.4098,0.2103828166654072
interaction,life,0.4249,0.19794614210781286
interaction,master_sensitivity,0.5591,0.1437147005071138
interaction,mental_health,0.5479,0.12740934203094575
interaction,outcome,0.5825,0.12078596154496545
interaction,people,0.2057,0.4569698881593922
interaction,person,0.32,0.27983278178010945
interaction,place,0.5515,0.12274181500838538
interaction,psychology,0.5479,0.12629484230594176
interaction,relationship,0.5259,0.16068201822946046
interaction,risk,0.3387,0.24831441692813155
interaction,role,0.5164,0.12629484230594176
interaction,tool,0.5128,0.12476094632754282
interaction,trust,0.5028,0.18610858887603296
loved_one,certainty,0.5373,0.1323954818746488
loved_one,comfort,0.3816,0.1996963927053518
loved_one,gratitude,0.4618,0.16267292390605445
loved_one,investment,0.4682,0.1599275885992919
loved_one,life,0.4736,0.15765883974961659
loved_one,public,0.4041,0.14858806428349813
word,practice,0.4876,0.15225830931599005
distribution,growing_inequity,0.5222,0.1230286463407366
distribution,inequality,0.5177,0.13755865620087196
downside,group,0.5689,0.1261907336463721
instance,state,0.609,0.1203742194070648
mistake,community,0.5822,0.12368045751758651
mistake,conflict,0.5807,0.12427758920600303
mistake,country,0.475,0.16908683492673282
mistake,cultural,0.384,0.2158833265783895
mistake,folk,0.3961,0.20906614486738898
mistake,learning,0.4495,0.18129175005419226
mistake,multiple_level,0.2954,0.2158833265783895
mistake,official,0.5079,0.15420343505473402
mistake,orientation,0.3544,0.20057631011831056
mistake,thousand,0.5079,0.15420343505473402
mistake,threat,0.3326,0.23002254543025377
mistake,tragedy,0.5079,0.15420343505473402
mistake,useless_partisan,0.5761,0.12606816347084693
mistake,vaccine,0.4109,0.16858933507118337
mistake,willingness,0.4794,0.12961178997776743
huge_contributor,day,0.3459,0.17104287506585367
huge_contributor,ignore_unfamiliar,0.4422,0.1366671623970273
huge_contributor,people,0.6395,0.1295715604891635
validity,ancient_greek,0.4435,0.1465659435978519
validity,aspect,0.3612,0.17773002590194162
validity,philosopher_enhanced,0.4435,0.1465659435978519
awareness,community,0.5515,0.148316720813334
awareness,life,0.5738,0.1287298381221453
awareness,people,0.6447,0.12724894957277627
awareness,support,0.5076,0.1732855857410468
awareness,video,0.5917,0.12896946837861353
clapping_hand,worker,0.5309,0.12243030436848452
emotion,day,0.3302,0.2571912733800359
emotion,expression,0.3081,0.26815712908961925
emotion,importance,0.48,0.14766445350536173
place,conversation,0.4592,0.15941264169579508
place,disease,0.5307,0.13049716240703094
place,foreign_place,0.4119,0.18094014224837213
place,ground,0.5467,0.12452991390068421
place,group,0.4527,0.1622280650985361
place,life,0.547,0.12440535022029094
place,living,0.5108,0.13816299568234913
place,money,0.5401,0.1269708943945136
place,news,0.5214,0.13403343622954556
place,people,0.119,0.41436633553393926
place,way,0.479,0.17286984486123164
place,world,0.4686,0.16325106003962137
spectrum,country,0.3957,0.1463076853393787
spectrum,democrats,0.4166,0.13887452327147445
spectrum,group,0.3543,0.16197824008410722
spectrum,republicans,0.4166,0.13887452327147445
spectrum,xenophobia,0.4477,0.13887452327147445
creature,form,0.4083,0.1649930706344286
creature,moral_decent,0.3431,0.19647475927777314
creature,rather_than,0.5779,0.13216384650162652
creature,recognition,0.3898,0.1649930706344286
creature,right,0.4876,0.1649930706344286
leadership,area,0.5826,0.12427077635315063
leadership,character,0.4593,0.1770519231085582
leadership,citizens_whose,0.527,0.14668584825958256
leadership,democracy,0.2764,0.28607500758753684
leadership,education,0.3837,0.21620918455237476
leadership,hate_crimes,0.4593,0.1770519231085582
leadership,leader,0.3686,0.22489536271310287
leadership,liberty,0.5155,0.13628521783871136
leadership,privacy,0.4674,0.14668584825958256
leadership,self,0.5221,0.16020149408396028
leadership,value,0.4921,0.19343188954258236
zoom,class,0.4821,0.14501548419626506
zoom,connection,0.4691,0.15014835584793185
zoom,face,0.5428,0.12244599147426591
zoom,meeting,0.4905,0.14174405100780213
zoom,people,0.2991,0.23199585988240695
zoom,relationship,0.3326,0.21318181522484939
zoom,strengthening,0.5397,0.12356181241018581
worldview_shaped,default_response,0.3482,0.20370215002243747
worldview_shaped,don,0.5115,0.13438569302307152
worldview_shaped,influence,0.4007,0.17901112985439918
worldview_shaped,tendency,0.4796,0.1463713766028388
worldview_shaped,worldview,0.3482,0.20370215002243747
sense,community,0.2874,0.2905352459048677
sense,country,0.5196,0.1551727628078719
sense,day,0.5791,0.12992084371217974
sense,distance,0.5149,0.1572877600489771
sense,fear,0.4688,0.1790456810800306
sense,group,0.4158,0.20664995795094232
sense,nation,0.5666,0.13500739402503295
sense,people,0.0704,0.5937447501409698
sense,potential,0.5321,0.14966793041264315
sense,society,0.361,0.23051502503429436
sense,threat,0.3575,0.21527903309563354
sense,trust,0.5076,0.18355165498672663
sense,uncertainty,0.6254,0.12250968666664763
sense,way,0.5389,0.14533544908432913
sense,wearing_masks,0.504,0.14830928311457858
sense,work,0.5846,0.13207571216276526
sense,world,0.4234,0.18474293079553247
effort,evaluation,0.4754,0.14834289222333752
effort,group,0.5571,0.13087705263178825
conversation,ground,0.4199,0.17791794356102378
conversation,information,0.2146,0.3354318175087379
conversation,living,0.5915,0.1518636826730148
conversation,money,0.4333,0.16081188917671912
conversation,news,0.4016,0.19149578278354004
conversation,way,0.5573,0.13746018498870716
past,people,0.5503,0.17306608144058086
variety,gratitude,0.4142,0.18305799334788447
answer,aspect,0.3234,0.2848322844493637
answer,computer,0.4559,0.12907816072371486
answer,day,0.4329,0.2278197388517702
answer,environment,0.3621,0.20700910136404116
answer,extent,0.5428,0.12740326283351558
answer,familiarity,0.4401,0.13892878331054573
answer,intergroup_conflict,0.603,0.12277138209193252
answer,issue,0.5535,0.12009030875761252
answer,life,0.2736,0.298838285371809
answer,medium,0.5024,0.12907816072371486
answer,originally_thought,0.3761,0.17287198708476437
answer,people,0.5232,0.18765315441594344
answer,question,0.0999,0.6012546756635326
answer,society,0.5558,0.1337377835317347
answer,tentativeness,0.3031,0.2633557727580978
answer,uncertainty,0.4625,0.19895308126986883
answer,value,0.6003,0.1399649903364959
answer,way,0.5273,0.1504011339895981
answer,work,0.4878,0.1758064979538012
worldview,default_response,0.3482,0.20370215002243747
worldview,don,0.5115,0.13438569302307152
worldview,influence,0.4007,0.17901112985439918
worldview,tendency,0.4796,0.1463713766028388
adversity,fact,0.4707,0.16332981840988678
