Theme,Word,TFIDF Weight
human,(social support),0.18365096448998638
human,(self-distancing),0.16152943260421823
mean,(balance of personal & others interest),0.23354114891815553
mean,(perspective taking),0.1518122330375479
(evidence-based decision-making),communication,0.23745224469450996
(evidence-based decision-making),idea,0.23745224469450996
(evidence-based decision-making),internet,0.3312426269801232
(evidence-based decision-making),people,0.33208055869308684
life,(critical thinking),0.15286608075732552
life,(self-reflection on what's important),0.31654037270463536
person,(living in the moment),0.17363698888089432
person,(shared humanity),0.15985415988887286
slow_down,(living in the moment),0.27436458901980687
slow_down,(self-reflection on what's important),0.2958424497252661
(improved work-life balance),balance,0.24266108678371248
(improved work-life balance),effective_communication,0.20628409327783095
(improved work-life balance),partner,0.5157102331945774
(improved work-life balance),support,0.3094261399167464
face,(social connectedness),0.2512072602748448
face,(improve communication),0.39815443050379695
face,(embrace new tech),0.18543986433622295
challenge,(acknowledge of uncertainty/flexibility),0.17512490246089102
challenge,(personal resilience),0.2424672450161479
paradigm,(bipartisanship and international cooperation),0.18979540959051341
paradigm,(solidarity),0.18088082687386817
(self-distancing),common_good,0.1460005415771648
(self-distancing),culture,0.1628773618798178
(self-distancing),distancing,0.1460005415771648
(self-distancing),freedom,0.13395539791487115
(self-distancing),nervous_system,0.32305886520843646
(self-distancing),people,0.2429070710808829
(self-distancing),perspective,0.1930795285151698
(self-distancing),right,0.16152943260421823
(self-distancing),self,0.3198824397522998
(self-distancing),socially_dependent,0.16152943260421823
(self-distancing),specie,0.1460005415771648
(self-distancing),story,0.32305886520843646
(self-distancing),threat,0.17368926837307588
(self-distancing),wellbeing,0.1460005415771648
internet,(critical thinking),0.1523951814415245
impact,(bipartisanship and international cooperation),0.17154912353942822
impact,(political engagement & structural change),0.2114539097028874
(living in the moment),self,0.31047650556781897
(living in the moment),wellbeing,0.24798810929174261
information,(critical thinking),0.3823572583437758
information,(improve communication),0.34417003873508883
information,(intellectual humility),0.2910100906352226
information,(embrace new tech),0.1602967100249782
wellbeing,(social support),0.1659953845216842
support,(social connectedness),0.23275125811335756
support,(social support),0.21166686326729292
support,(balance of personal & others interest),0.21638306222705478
support,(sympathy & compassion),0.18962204731676746
folk,(intellectual humility),0.24357305282268468
folk,(learning from pandemics),0.25401489086155044
thousand,(intellectual humility),0.1623820352151231
thousand,(learning from pandemics),0.16934326057436694
