DoP,Word
0.011179184907998468,self
0.009041178532703956,way
0.008890356347983467,globalization
0.008653932382745942,perspective
0.007575757575757576,empathy
0.007443278629719307,idea
0.006752349972688957,life
0.006734006734006734,positive_change
0.006365103822730941,value
0.006128679857493416,freedom
0.005892255892255892,at_least
0.005892255892255892,compassion
0.005390874034941831,behavior
0.005286929015742575,challenge
0.005050505050505051,communication
0.005050505050505051,situation
0.005050505050505051,force
0.005050505050505051,particle
0.004681602139229258,information
0.0044451781739917335,mistake
0.0044451781739917335,good
0.004312699227953465,person
0.004312699227953465,ability
0.004208754208754209,institute
0.004208754208754209,fact
-0.004000864170355696,state
-0.004133343116393963,problem
-0.00423728813559322,datum
-0.00423728813559322,mask
-0.00423728813559322,parent
-0.00423728813559322,education
-0.004369767081631488,concern
-0.0043983010084705,country
-0.004606191046869013,institution
-0.004738669992907282,sense
-0.004842615012106538,mental_health
-0.004842615012106538,loss
-0.004899682865784561,society
-0.00521151792338233,don
-0.005447941888619854,anxiety
-0.005816844799895648,job
-0.005949323745933915,resource
-0.006053268765133172,isolation
-0.00715997749896055,consequence
-0.007396401464198074,fear
-0.007869249394673124,child
-0.007869249394673124,student
-0.008238152305948916,government
-0.010895883777239709,school
-0.013686094194568772,group
