i,j,alpha,weight
medium,answer,0.4097,0.14452964182495895
medium,computer,0.3708,0.15938643823045825
medium,familiarity,0.3708,0.15938643823045825
medium,information_technology,0.4097,0.14452964182495895
medium,order,0.4056,0.13398857702194752
medium,question,0.3795,0.14452964182495895
home,at_least,0.4728,0.15013181622027963
same_river,adversity,0.3769,0.2319129342404974
same_river,fact,0.4936,0.1733409762511153
same_river,life,0.3917,0.2237729034633138
same_river,use,0.3962,0.2102957672715539
self,ability,0.3516,0.2395075741486711
self,centeredness,0.4386,0.1904528041014959
self,component,0.5801,0.12717490849001598
self,deriving_pleasure,0.5707,0.1308899060060041
self,family,0.524,0.1503346461475851
self,good,0.524,0.1503346461475851
self,mind,0.4319,0.19386188377882127
self,people,0.3984,0.2118900404562063
self,positive_change,0.5306,0.14751495879508492
self,reflective_component,0.4386,0.1904528041014959
self,resource,0.4272,0.19633485900900613
self,sort,0.4335,0.17972284175295544
self,threat,0.4457,0.17429752239740964
face,communication,0.6035,0.12603685021842523
face,people,0.3787,0.2104083210935103
face,way,0.4415,0.2063644180798958
pleasure,resource,0.4801,0.12502350411942473
balance,work,0.2822,0.3259582488101663
wellbeing,nervous_system,0.4189,0.1452352628634417
wellbeing,resource,0.4849,0.12502350411942473
travel,complex_conversation,0.4085,0.16389152171039462
travel,culture,0.5165,0.12249905968202685
travel,deliver_document,0.4085,0.16389152171039462
travel,discernment,0.4085,0.16389152171039462
travel,jet_across,0.4085,0.16389152171039462
travel,matter,0.4458,0.14861479554930082
travel,narrative,0.4458,0.14861479554930082
travel,ocean,0.4085,0.16389152171039462
travel,research_collaboration,0.4085,0.16389152171039462
uncertainty,certainty,0.7107,0.13106109611596534
uncertainty,people,0.5961,0.1929591844712495
uncertainty,possibility,0.3106,0.39318328834789606
inequality,distribution,0.5444,0.12354497630394821
inequality,extent,0.3182,0.2240580989539983
inequality,goal,0.5444,0.12354497630394821
inequality,life,0.4552,0.1770368972806102
inequality,people,0.4608,0.16845228400098214
inequality,pretty_unaware,0.5444,0.12354497630394821
